name,display_name,code,excluded
Altoona Public Library,Altoona,al,0
Amery Public Library,Amery,am,0
Augusta Memorial Public Library,Augusta,au,0
Baldwin Public Library,Baldwin,ba,0
Balsam Lake Public Library,Balsam Lake,bl,0
Barron Public Library,Barron,bn,0
Boyceville Public Library,Boyceville,bo,0
Bruce Area Library,Bruce,br,0
Cadott Community Library,Cadott,ca,0
Calhoun Memorial Library,Chetek,ch,0
Cameron Public Library,Cameron,cm,0
Carleton A. Friday Memorial Library,New Richmond,nr,0
Centuria Public Library,Centuria,ce,0
Chippewa Falls Public Library,Chippewa Falls,cf,0
Clarella Hackett Johnson Public Library,Sand Creek,sa,0
Clear Lake Public Library,Clear Lake,cl,0
Colfax Public Library,Colfax,co,0
D.R. Moon Memorial Library,Stanley,st,0
Deer Park Public Library,Deer Park,dp,0
Dresser Public Library,Dresser,dr,0
Menomonie Public Library,Menomonie Public Library - All Branches,"me,em",0
Elk Mound,Elk Mound,em,0
Ellsworth Public Library,Ellsworth,el,0
Elmwood Public Library,Elmwood,ew,0
Fall Creek Public Library,Fall Creek,fc,0
Frederic Public Library,Frederic,fr,0
G.E. Bleskacek Family Memorial Library,Bloomer,bb,0
Glenwood City Public Library,Glenwood City,gc,0
Hammond Community Library,Hammond,ha,0
Hazel Mackin Community Library,Roberts,ro,0
Hudson Area Joint Library,Hudson,hu,0
L.E. Phillips Memorial Public Library,Eau Claire,ec,0
Luck Public Library,Luck,lu,0
Menomonie Public Library,Menomonie,me,0
Milltown Public Library,Milltown,mi,0
Ogema Public Library,Ogema,og,0
Osceola Public Library,Osceola,os,0
Park Falls Public Library,Park Falls,pf,0
Pepin Public Library,Pepin,pe,0
Phillips Public Library,Phillips,ph,0
Plum City Public Library,Plum City,pl,0
Prescott Public Library,Prescott,pr,0
Rice Lake Public Library,Rice Lake,rl,0
River Falls Public Library,River Falls,rf,0
Rusk County Community Library,Ladysmith,la,0
Somerset Public Library,Somerset,so,0
Spring Valley Public Library,Spring Valley,sv,0
St. Croix Falls Public Library,St. Croix Falls,sc,0
Thomas St Angelo Public Library,Cumberland,cu,0
Turtle Lake Public Library,Turtle Lake,tl,0
Woodville Community Library,Woodville,wo,0
Indianhead Federated Library System,Eau Claire,if,1